Rank,Country,Matches,W,D,L,GD,Points
1,,Brazil,114,76,19,19,129
2,,Germany,112,68,21,23,102
3,,Argentina,88,47,17,24,51
4,,Italy,83,45,21,17,51
5,,France,73,39,14,20,51
6,,England,74,32,22,20,36
7,,Spain,67,31,17,19,33
8,,Netherlands,55,30,14,11,44
9,,Uruguay,59,25,13,21,13
10,,Sweden,52,20,13,19,10
11,,Belgium,51,21,10,20,-5
12,,Mexico,60,17,15,28,-39
13,,Portugal,35,17,6,12,20
14,,Poland,38,17,6,15,-1
15,,Yugoslavia,37,16,8,13,14
16,,Soviet Union (-1991),31,15,6,10,19
17,,Switzerland,41,14,8,19,-18
18,,Hungary,32,15,3,14,30
19,,Croatia,30,13,8,9,10
20,,Austria,30,12,4,14,-7
21,,Chile,33,11,7,15,-9
22,,Czechoslovakia (-1993),30,11,5,14,-1
23,,United States,37,9,8,20,-26
24,,Denmark,23,9,6,8,2
25,,Paraguay,27,7,10,10,-8
26,,South Korea,38,7,10,21,-39
27,,Colombia,22,9,3,10,2
28,,Romania,21,8,5,8,-2
29,,Japan,25,7,6,12,-8
30,,Costa Rica,21,6,5,10,-17
31,,Cameroon,26,5,8,13,-25
32,,Morocco,23,5,7,11,-7
33,,Nigeria,21,6,3,12,-7
34,,Scotland,23,4,7,12,-16
35,,Senegal,12,5,3,4,-1
36,,Ghana,15,5,3,7,-5
37,,Peru,18,5,3,10,-12
38,,Ecuador,13,5,2,6,0
39,,Bulgaria,26,3,8,15,-31
40,,Russia,14,4,4,6,4
41,,Turkiye,10,5,1,4,3
42,,Australia,20,4,4,12,-20
43,,Republic of Ireland,13,2,8,3,0
44,,Northern Ireland,13,3,5,5,-10
45,,Tunisia,18,3,5,10,-12
46,,Saudi Arabia,19,4,2,13,-30
47,,Iran,18,3,4,11,-18
48,,Algeria,13,3,3,7,-6
49,,Ivory Coast,9,3,1,5,-1
50,,South Africa,9,2,4,3,-5
51,,Norway,8,2,3,3,-1
52,,East Germany,6,2,2,2,0
53,,Greece,10,2,2,6,-15
54,,Ukraine,5,2,1,2,-2
55,,Wales,8,1,4,3,-5
56,,Serbia,9,2,1,6,-6
57,,Slovakia,4,1,1,2,-2
58,,Slovenia,6,1,1,4,-5
59,,Cuba,3,1,1,1,-7
60,,North Korea,7,1,1,5,-15
61,,Bosnia-Herzegovina,3,1,0,2,0
62,,Czech Republic,3,1,0,2,-1
63,,Jamaica,3,1,0,2,-6
64,,New Zealand,6,0,3,3,-10
65,,Honduras,9,0,3,6,-11
66,,Angola,3,0,2,1,-1
67,,Israel,3,0,2,1,-2
68,,Egypt,7,0,2,5,-7
69,,Iceland,3,0,1,2,-3
70,,Kuwait,3,0,1,2,-4
71,,Trinidad and Tobago,3,0,1,2,-4
72,,Bolivia,6,0,1,5,-19
73,,Iraq,3,0,0,3,-3
74,,Togo,3,0,0,3,-5
75,,Dutch East Indies,1,0,0,1,-6
76,,Qatar,3,0,0,3,-6
77,,Serbia and Montenegro,3,0,0,3,-8
78,,Panama,3,0,0,3,-9
79,,United Arab Emirates,3,0,0,3,-9
80,,China,3,0,0,3,-9
81,,Canada,6,0,0,6,-10
82,,Haiti,3,0,0,3,-12
83,,Zaire,3,0,0,3,-14
84,,El Salvador,6,0,0,6,-21
